content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
"Helpfull, easy to use","helpfull, easy to use",en,0.4404,0.0,0.508,0.492,1,"[('helpfull easy use', 0.9594), ('helpfull', 0.7056), ('easy use', 0.689), ('use', 0.492), ('easy', 0.3609)]"
Best of the Best,best of the best,en,0.8555,0.0,0.192,0.808,2,"[('best best', 0.9366), ('best', 0.8263)]"
Very helpful and easy to use,very helpful and easy to use,en,0.7397,0.0,0.39,0.61,2,"[('helpful easy use', 0.8431), ('easy use', 0.7051), ('helpful', 0.5356), ('use', 0.4708), ('easy', 0.274)]"
"Easy to use, reliable","easy to use, reliable",en,0.4404,0.0,0.508,0.492,1,"[('easy use reliable', 0.9483), ('easy use', 0.7053), ('reliable', 0.6895), ('use', 0.4377), ('easy', 0.3339)]"
Confirmed booking can be cancelled by system.,confirmed booking can be cancelled by system.,en,-0.25,0.25,0.75,0.0,-1,"[('confirmed booking cancelled', 0.8349), ('confirmed booking', 0.6253), ('booking', 0.5817), ('cancelled', 0.5051), ('confirmed', 0.3339)]"
Helpful and efficient app👍,helpful and efficient application,en,0.6808,0.0,0.417,0.583,2,"[('helpful efficient application', 0.9752), ('helpful efficient', 0.7227), ('application', 0.6292), ('efficient', 0.5305), ('helpful', 0.4066)]"
Easy to ask doctor from home,easy to ask doctor from home,en,0.4404,0.0,0.633,0.367,1,"[('easy ask doctor', 0.8202), ('doctor', 0.4747), ('ask', 0.3418), ('easy', 0.2365), ('home', 0.2165)]"
"Very good and helpful! The app is user-friendly and has a lot of features for health-related queries (e.g. telemedicine, health calculators, etc.). Overall, my experience in using this app has been pretty good and so far, I haven't encountered any major issues when accessing the features inside the app","very good and helpful! the application is user-friendly and has a lot of features for health-related queries (e.g. telemedicine, health calculators, etc.). overall, my experience in using this application has been pretty good and so far, i have not encountered any major issues when accessing the features inside the application",en,0.9127,0.0,0.781,0.219,1,"[('application user friendly', 0.5703), ('health related queries', 0.5615), ('telemedicine', 0.3502), ('accessing features inside', 0.2996), ('good far', 0.1343)]"
So far this is a useful app to help my family,so far this is a useful application to help my family,en,0.6808,0.0,0.616,0.384,1,"[('far useful application', 0.6575), ('help family', 0.5433), ('application help', 0.4338), ('help', 0.177), ('far', 0.1689)]"
I cannot make med reservation from the app. Pelase fix it,i cannot make med reservation from the application. pelase fix it,en,0.0,0.0,1.0,0.0,0,"[('med reservation application', 0.7643), ('application', 0.3766), ('pelase fix', 0.3092), ('make med', 0.2726), ('make', 0.038)]"
All the doctors are helpful 🙏,all the doctors are helpful,en,0.4215,0.0,0.682,0.318,1,"[('doctors helpful', 0.7869), ('doctors', 0.4535), ('helpful', 0.4014)]"
Very helpful n fast response,very helpful n fast response,en,0.4754,0.0,0.564,0.436,1,"[('helpful fast response', 0.7967), ('helpful fast', 0.7508), ('helpful', 0.6069), ('response', 0.4543), ('fast', 0.4123)]"
The best for you who needs medic in second,the best for you who needs medic in second,en,0.6369,0.0,0.656,0.344,1,"[('needs medic second', 0.8684), ('medic', 0.6914), ('best needs', 0.3666), ('second', 0.3598), ('best', 0.2604)]"
"Only 30 mins to talk to psychiatrist, seriously?","only 30 mins to talk to psychiatrist, seriously?",en,-0.1779,0.195,0.805,0.0,-1,"[('talk psychiatrist', 0.712), ('30 mins', 0.3803), ('mins talk', 0.2673), ('seriously', 0.1989), ('30', 0.1861)]"
The doctor is accomodating and ask thoroughly about the symptoms etc.,the doctor is accomodating and ask thoroughly about the symptoms etc.,en,0.0,0.0,1.0,0.0,0,"[('doctor accomodating ask', 0.639), ('symptoms', 0.5159), ('ask', 0.1531), ('accomodating', 0.1404), ('thoroughly', 0.0705)]"
Nice apps to Buy medicine but unfortunately the cost for delivery to expensive,nice application to buy medicine but unfortunately the cost for delivery to expensive,en,-0.296,0.194,0.688,0.119,-1,"[('application buy medicine', 0.744), ('medicine unfortunately cost', 0.7225), ('cost delivery expensive', 0.6312), ('buy', 0.2135), ('nice', 0.081)]"
"Many choice of doctors n very fast responses also good communication, so we could spent our time, keep on🙏","many choice of doctors n very fast responses also good communication, so we could spent our time, keep on",en,0.4404,0.0,0.873,0.127,1,"[('doctors fast responses', 0.6648), ('good communication', 0.4112), ('good', 0.1869), ('choice', 0.173), ('spent', 0.0495)]"
Effective and efficient application.,effective and efficient application.,en,0.7096,0.0,0.253,0.747,2,"[('effective efficient application', 0.9104), ('effective efficient', 0.7513), ('efficient', 0.622), ('application', 0.6103), ('effective', 0.5664)]"
Very bad experience,very bad experience,en,-0.5849,0.655,0.345,0.0,-2,"[('bad experience', 0.9088), ('experience', 0.636), ('bad', 0.5319)]"
Keep up the good services. Salam sehat.,keep up the good services. salam sehat.,en,0.4404,0.0,0.674,0.326,1,"[('good services salam', 0.7535), ('services salam sehat', 0.7442), ('sehat', 0.4293), ('services', 0.4225), ('good', 0.1326)]"
"this apps very helpful, could be optional for cheapest solution you can choose rather than you go to hospital, don't worry because the doctor are registered and professional at some point, we cannot modify the recipe if you using insurance, and we cannot split recipe with many drug store. maybe I suggest this issue can be solve, that patient can adjust the recipe, and can split the recipe for many drug store thanks","this application very helpful, could be optional for cheapest solution you can choose rather than you go to hospital, do not worry because the doctor are registered and professional at some point, we cannot modify the recipe if you using insurance, and we cannot split recipe with many drug store. maybe i suggest this issue can be solve, that patient can adjust the recipe, and can split the recipe for many drug store thanks",en,0.8885,0.0,0.845,0.155,1,"[('split recipe drug', 0.6597), ('choose hospital worry', 0.2853), ('application helpful optional', 0.2762), ('professional point modify', 0.1924), ('store', 0.0868)]"
Easy to use 😁👍🏻,easy to use,en,0.7096,0.0,0.651,0.349,1,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
Simply useful! Connected with insurance,simply useful! connected with insurance,en,0.4926,0.0,0.556,0.444,1,"[('useful connected insurance', 0.7808), ('simply useful connected', 0.604), ('useful', 0.5597), ('simply', 0.2256), ('connected', 0.2157)]"
Great. Fast response,great. fast response,en,0.6249,0.0,0.328,0.672,2,"[('great fast response', 0.7718), ('fast response', 0.6551), ('response', 0.5822), ('great', 0.5489), ('fast', 0.5242)]"
It's easy to use,it is easy to use,en,0.4404,0.0,0.508,0.492,1,"[('easy use', 0.8533), ('use', 0.5581), ('easy', 0.4255)]"
"usefull app, integrated with our health insurance 👍","usefull application, integrated with our health insurance",en,0.0,0.0,1.0,0.0,0,"[('integrated health insurance', 0.7421), ('application integrated', 0.5698), ('insurance', 0.5683), ('usefull application', 0.5661), ('health', 0.4195)]"
"not being able to update my profile, hence couldn't make an order","not being able to update my profile, hence could not make an order",en,0.0,0.0,1.0,0.0,0,"[('able update profile', 0.7287), ('profile make order', 0.6037), ('update', 0.3817), ('make order', 0.3433), ('able', 0.2558)]"
User friendly application,user friendly application,en,0.4939,0.0,0.385,0.615,2,"[('user friendly application', 1.0), ('application', 0.6856), ('user friendly', 0.5989), ('user', 0.3611), ('friendly', 0.3113)]"
CS very slow respon,cs very slow respon,en,0.0,0.0,1.0,0.0,0,"[('cs slow respon', 0.9835), ('slow respon', 0.6944), ('cs', 0.6013), ('slow', 0.5249), ('respon', 0.1953)]"
"I just try this app, it was help me alot to bought medicine. Thanks 👍","i just try this application, it was help me alot to bought medicine. thanks",en,0.6808,0.0,0.714,0.286,1,"[('bought medicine thanks', 0.575), ('application help alot', 0.4324), ('just try', 0.1809), ('thanks', 0.112), ('alot', 0.0994)]"
"So far it's been helpful. But the map is unreliable and the drivers seem to not reading the note. I couldn't find my orders until now. The info just shows whether it has been delivered or not, but no info who accepted it nor picture of the person who accepted it. So when they delivered the medicine to the wrong person, to track it was such a hassle. Maybe fix that part. Oh, and why I had to double confirm to 2 different doctors just to make order?","so far it is been helpful. but the map is unreliable and the drivers seem to not reading the note. i could not find my orders until now. the info just shows whether it has been delivered or not, but no info who accepted it nor picture of the person who accepted it. so when they delivered the medicine to the wrong person, to track it was such a hassle. maybe fix that part. oh, and why i had to double confirm to 2 different doctors just to make order?",en,0.5239,0.043,0.858,0.099,1,"[('delivered medicine wrong', 0.5696), ('reading note orders', 0.3855), ('helpful map', 0.3151), ('person track hassle', 0.255), ('maybe fix oh', 0.0737)]"
Need to have option to set default address / never to ask if GPS is not on,need to have option to set default address / never to ask if gps is not on,en,0.0,0.0,1.0,0.0,0,"[('address ask gps', 0.686), ('default address', 0.6168), ('option set default', 0.5279), ('ask', 0.0717), ('need', -0.0068)]"
Too much bugs.. be careful you could lose your money,too much bugs.. be careful you could lose your money,en,-0.2732,0.22,0.65,0.13,-1,"[('bugs careful', 0.6721), ('bugs', 0.6412), ('lose money', 0.3369), ('money', 0.2693), ('careful lose', 0.1936)]"
"I need the drug very fast, but the verification is bad, i trying to upload KTP but always fail, now it need to wait for 24 hours","i need the drug very fast, but the verification is bad, i trying to upload ktp but always fail, now it need to wait for 24 hours",en,-0.8885,0.275,0.725,0.0,-1,"[('trying upload ktp', 0.6444), ('drug fast verification', 0.613), ('wait 24 hours', 0.369), ('need', 0.1829), ('bad trying', 0.1532)]"
This app is really helpful. Thanks hallodoc,this application is really helpful. thanks hallodoc,en,0.7408,0.0,0.444,0.556,2,"[('application really helpful', 0.6949), ('helpful thanks', 0.4006), ('hallodoc', 0.3431), ('thanks', 0.2315), ('really', -0.0102)]"
Very easy to use and fast respons from the care unit,very easy to use and fast respons from the care unit,en,0.7501,0.0,0.585,0.415,1,"[('easy use fast', 0.6031), ('respons care unit', 0.5545), ('fast respons', 0.3685), ('unit', 0.2727), ('care', 0.241)]"
Cannot to login apps (please enabled permission for feature),cannot to login application (please enabled permission for feature),en,0.3182,0.0,0.777,0.223,1,"[('login application enabled', 0.7077), ('permission', 0.4363), ('enabled', 0.4074), ('application', 0.2924), ('feature', 0.2835)]"
Too many annoying ads,too many annoying ads,en,-0.4019,0.474,0.526,0.0,-1,"[('annoying ads', 0.8798), ('ads', 0.6442), ('annoying', 0.5078)]"
the worst part is when it searching for the drug store,the worst part is when it searching for the drug store,en,-0.6249,0.291,0.709,0.0,-1,"[('worst searching drug', 0.6932), ('searching drug store', 0.6769), ('searching', 0.3748), ('store', 0.3502), ('worst', 0.2716)]"
Cool. Easy to use,cool. easy to use,en,0.6369,0.0,0.278,0.722,2,"[('cool easy use', 0.8557), ('cool easy', 0.6053), ('use', 0.5037), ('cool', 0.4696), ('easy', 0.3769)]"
Great apps for beginner like me. Who doesn't depend on people in the society. Very much introvert person indeed. With this app I can easly consult everything in needs. Thank you and very much appreciate for the inovation of this app.,great application for beginner like me. who does not depend on people in the society. very much introvert person indeed. with this application i can easly consult everything in needs. thank you and very much appreciate for the inovation of this application.,en,0.9017,0.0,0.754,0.246,1,"[('introvert person application', 0.8134), ('easly consult needs', 0.3171), ('beginner like does', 0.2977), ('society', 0.1941), ('thank appreciate', 0.1192)]"
Very disastrous UX especially during making an order.,very disastrous ux especially during making an order.,en,-0.6361,0.375,0.625,0.0,-1,"[('disastrous ux especially', 0.7788), ('disastrous', 0.5428), ('making order', 0.4426), ('ux', 0.4051), ('especially making', 0.2251)]"
